language,language_code,sentence_id,n,vertex,degree_cent,closeness_cent,betweenness_cent,pagerank_cent,eigenvector_cent,katz_cent,is_root
Spanish,17,2,17,3,0.1875,6.6345238095238095,0.3416666666666667,0.09034293851360103,0.25651055324020805,0.26764674018396906,0
Spanish,17,2,17,14,0.1875,7.15952380952381,0.5666666666666667,0.08600792433321332,0.3271292787100932,0.2701107753760446,0
Spanish,17,2,17,13,0.125,5.717857142857143,0.125,0.06370698623912772,0.179380750209346,0.24311483214755306,0
Spanish,17,2,17,10,0.0625,4.348015873015873,0.0,0.03589865717302144,0.07919216922678031,0.21855931202430565,0
Spanish,17,2,17,6,0.125,6.7,0.525,0.05767718857292649,0.3051011171654617,0.24786805444257426,0
Spanish,17,2,17,16,0.1875,7.0666666666666655,0.5916666666666667,0.08641411721181369,0.36396903044436985,0.2660915941424076,0
Spanish,17,2,17,2,0.0625,5.050000000000002,0.0,0.03330792986743781,0.16068178041617462,0.2208569853683479,0
Spanish,17,2,17,7,0.125,6.683333333333334,0.5,0.05827586677802802,0.3586631350374224,0.24971279311919783,0
Spanish,17,2,17,17,0.25,7.292857142857144,0.5166666666666666,0.11749404720178193,0.4484611635728005,0.2885581666876797,0
Spanish,17,2,17,8,0.0625,5.003571428571429,0.0,0.03379146632235492,0.19798135462124775,0.22310364173322006,0
Spanish,17,2,17,1,0.0625,5.003571428571429,0.0,0.03379146632235492,0.19798135462124775,0.22310364173322006,0
Spanish,17,2,17,4,0.125,5.920238095238096,0.23333333333333334,0.06225783852096288,0.26121387086566505,0.24718353403044552,0
Spanish,17,2,17,15,0.125,5.088492063492064,0.125,0.06697858716298968,0.1432325861452555,0.2407989509245181,0
Spanish,17,2,17,12,0.0625,3.942857142857143,0.0,0.037289901610372655,0.06323251624441724,0.21832772627959562,0
Spanish,17,2,17,9,0.125,5.398015873015873,0.125,0.06562867838597057,0.1406576181699395,0.24286594111583576,1
Spanish,17,2,17,5,0.0625,4.128968253968254,0.0,0.03671604137741013,0.062097027658208785,0.21853442417597488,0
Spanish,17,2,17,11,0.0625,4.731349206349206,0.0,0.034420364406632604,0.11324321482979767,0.2210125005338803,0
Spanish,17,5,13,5,0.25,5.092857142857145,0.3181818181818182,0.12662972752833318,0.046108608140838,0.30037392454276807,0
Spanish,17,5,13,12,0.08333333333333333,3.6464285714285714,0.0,0.04741661686541172,0.019602975823822897,0.2520256324529663,0
Spanish,17,5,13,3,0.08333333333333333,3.6464285714285714,0.0,0.04741661686541172,0.019602975823822897,0.2520256324529663,0
Spanish,17,5,13,6,0.16666666666666666,5.050000000000002,0.4090909090909091,0.08113456364042626,0.06924890297661375,0.27980561516501995,1
Spanish,17,5,13,9,0.16666666666666666,5.2,0.48484848484848486,0.07933719839018298,0.11678074993565796,0.27779988073069756,0
Spanish,17,5,13,8,0.16666666666666666,5.416666666666665,0.5303030303030303,0.07839015219218635,0.20545238743180802,0.27831085662044713,0
Spanish,17,5,13,7,0.16666666666666666,5.816666666666666,0.5454545454545454,0.07796289356542227,0.36650705716744275,0.2854264542423419,0
Spanish,17,5,13,10,0.41666666666666663,7.116666666666667,0.6666666666666667,0.1947508833889316,0.656690592734656,0.35607148034437475,0
Spanish,17,5,13,2,0.08333333333333333,4.569047619047619,0.0,0.044646655377797335,0.2791662597973235,0.25759537458729903,0
Spanish,17,5,13,1,0.08333333333333333,4.569047619047619,0.0,0.044646655377797335,0.2791662597973235,0.25759537458729903,0
Spanish,17,5,13,13,0.08333333333333333,4.569047619047619,0.0,0.044646655377797335,0.2791662597973235,0.25759537458729903,0
Spanish,17,5,13,4,0.16666666666666666,5.235714285714286,0.16666666666666669,0.08525156590484126,0.3407454004363973,0.2826203979824917,0
Spanish,17,5,13,11,0.08333333333333333,3.842857142857143,0.0,0.04776981552546079,0.14485447189028486,0.25025026958103963,0
Spanish,17,8,48,8,0.10638297872340426,15.610353535353529,0.6799259944495838,0.045226127397502286,0.5663972855845536,0.19342231125702297,1
Spanish,17,8,48,23,0.0425531914893617,12.083369408369405,0.12210915818686402,0.019974983973904046,0.2538598785953254,0.14777789429844965,0
